source,target,src_type,tgt_type,confidence,polarity,strength,claim_type
Processing:heat treatment,Microstructure:γ',Processing,Microstructure,0.7,increase,medium,cooccurrence
Processing:heat treatment,Property:yield strength,Processing,Property,0.6,increase,medium,cooccurrence
Processing:heat treatment,Microstructure:TiN,Processing,Microstructure,0.55,increase,medium,cooccurrence
Microstructure:γ',Property:fatigue strength,Microstructure,Property,0.65,increase,medium,cooccurrence
Microstructure:γ',Microstructure:M23C6,Microstructure,Microstructure,0.6,increase,medium,cooccurrence
Microstructure:γ',Property:hardness,Microstructure,Property,0.8,increase,strong,cooccurrence
Microstructure:γ',Microstructure:MC,Microstructure,Microstructure,0.7,increase,medium,cooccurrence
Microstructure:γ',Microstructure:η,Microstructure,Microstructure,0.6,increase,medium,cooccurrence
Microstructure:γ',Microstructure:σ,Microstructure,Microstructure,0.65,increase,medium,cooccurrence
Microstructure:γ',Microstructure:boride,Microstructure,Microstructure,0.55,increase,medium,cooccurrence
Microstructure:γ',Microstructure:M3B2,Microstructure,Microstructure,0.6,increase,medium,cooccurrence
Microstructure:γ',Microstructure:TCP,Microstructure,Microstructure,0.6,increase,medium,cooccurrence
Microstructure:γ',Microstructure:oxide,Microstructure,Microstructure,0.6,increase,medium,cooccurrence
Microstructure:γ',Microstructure:α-Cr,Microstructure,Microstructure,0.6,increase,medium,cooccurrence
Microstructure:γ',Microstructure:carbide,Microstructure,Microstructure,0.55,increase,medium,cooccurrence
Microstructure:γ',Property:residual stress,Microstructure,Property,0.6,increase,medium,cooccurrence
Microstructure:γ',Microstructure:γ'',Microstructure,Microstructure,0.85,increase,strong,cooccurrence
Microstructure:γ',Microstructure:δ,Microstructure,Microstructure,0.85,increase,strong,cooccurrence
Microstructure:γ',Property:EL,Microstructure,Property,0.85,increase,strong,cooccurrence
Microstructure:γ',Property:ultimate tensile strength,Microstructure,Property,0.85,increase,strong,cooccurrence
Microstructure:γ',Property:creep rupture life,Microstructure,Property,0.85,increase,strong,cooccurrence
Microstructure:γ',Property:yield strength,Microstructure,Property,0.85,increase,strong,cooccurrence
Microstructure:γ',Property:HV,Microstructure,Property,0.85,increase,strong,cooccurrence
Microstructure:γ',Property:creep strain,Microstructure,Property,0.6,increase,medium,cooccurrence
Microstructure:γ',Property:creep life,Microstructure,Property,0.6,increase,medium,cooccurrence
Microstructure:γ',Property:potentiodynamic polarization,Microstructure,Property,0.6,increase,medium,cooccurrence
Microstructure:γ',Microstructure:MC carbide,Microstructure,Microstructure,0.6,increase,medium,cooccurrence
Microstructure:γ',Microstructure:carbides,Microstructure,Microstructure,0.55,increase,medium,cooccurrence
Element:Mo,Microstructure:M23C6,Element,Microstructure,0.7,increase,medium,cooccurrence
Element:Mo,Microstructure:γ,Element,Microstructure,0.85,increase,strong,cooccurrence
Element:Mo,Microstructure:γ',Element,Microstructure,0.85,increase,strong,cooccurrence
Element:Mo,Property:hardness,Element,Property,0.65,increase,medium,cooccurrence
Element:Mo,Element:Si,Element,Element,0.7,increase,medium,cooccurrence
Element:Mo,Microstructure:MC,Element,Microstructure,0.7,increase,medium,cooccurrence
Element:Mo,Microstructure:M6C,Element,Microstructure,0.65,increase,medium,cooccurrence
Element:Mo,Microstructure:η,Element,Microstructure,0.6,increase,medium,cooccurrence
Element:Mo,Microstructure:σ,Element,Microstructure,0.65,increase,medium,cooccurrence
Element:Mo,Microstructure:boride,Element,Microstructure,0.55,increase,medium,cooccurrence
