source,target,src_type,tgt_type,confidence,polarity,strength,claim_type
Element:Ti,Element:N=0.05,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Property:corrosion resistance,Element,Property,0.7,increase,medium,cooccurrence
Element:Ti,Element:Mo,Element,Element,0.85,increase,strong,cooccurrence
Element:Ti,Element:Mo=10,Element,Element,0.65,increase,medium,cooccurrence
Element:Ti,Element:Mo=3,Element,Element,0.65,increase,medium,cooccurrence
Element:Ti,Element:Mo=5,Element,Element,0.85,increase,strong,cooccurrence
Element:Ti,Element:Nb,Element,Element,0.85,increase,strong,cooccurrence
Element:Ti,Element:Zr,Element,Element,0.85,increase,strong,cooccurrence
Element:Ti,Element:Zr=30,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Property:elongation=10%,Element,Property,0.6,increase,medium,cooccurrence
Element:Ti,Property:hardness,Element,Property,0.85,increase,strong,cooccurrence
Element:Ti,Element:Al=3,Element,Element,0.85,increase,strong,cooccurrence
Element:Ti,Element:Al=6,Element,Element,0.85,increase,strong,cooccurrence
Element:Ti,Element:Fe,Element,Element,0.85,increase,strong,cooccurrence
Element:Ti,Element:Fe=6,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Element:V=4,Element,Element,0.85,increase,strong,cooccurrence
Element:Ti,Element:V=6,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Element:Zr=2,Element,Element,0.75,increase,strong,cooccurrence
Element:Ti,Property:aspect ratio=1.5None,Element,Property,0.6,increase,medium,cooccurrence
Element:Ti,Property:aspect ratio=1.6None,Element,Property,0.6,increase,medium,cooccurrence
Element:Ti,Property:grain size,Element,Property,0.6,increase,medium,cooccurrence
Element:Ti,Element:Al=5,Element,Element,0.85,increase,strong,cooccurrence
Element:Ti,Element:Cr=3,Element,Element,0.85,increase,strong,cooccurrence
Element:Ti,Element:V=5,Element,Element,0.85,increase,strong,cooccurrence
Element:Ti,Property:density,Element,Property,0.65,increase,medium,cooccurrence
Element:Ti,Property:flow stress,Element,Property,0.75,increase,strong,cooccurrence
Element:Ti,Property:strength,Element,Property,0.85,increase,strong,cooccurrence
Element:Ti,Element:Cr=2,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Element:Mo=2,Element,Element,0.85,increase,strong,cooccurrence
Element:Ti,Element:Sn=4,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Element:V,Element,Element,0.85,increase,strong,cooccurrence
Element:Ti,Property:elastic modulus,Element,Property,0.85,increase,strong,cooccurrence
Element:Ti,Property:plasticity,Element,Property,0.8,increase,strong,cooccurrence
Element:Ti,Property:uniform elongation,Element,Property,0.6,increase,medium,cooccurrence
Element:Ti,Property:yield strength,Element,Property,0.85,increase,strong,cooccurrence
Element:Ti,Element:Al,Element,Element,0.85,increase,strong,cooccurrence
Element:Ti,Element:Fe=1,Element,Element,0.85,increase,strong,cooccurrence
Element:Ti,Element:Mn,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Element:Mo=15,Element,Element,0.8,increase,strong,cooccurrence
Element:Ti,Element:Nb=13,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Element:Nb=20,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Element:Nb=30,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Element:Si,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Element:Sn,Element,Element,0.85,increase,strong,cooccurrence
Element:Ti,Element:Ta,Element,Element,0.8,increase,strong,cooccurrence
Element:Ti,Element:Zr=13,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Property:Young's modulus,Element,Property,0.65,increase,medium,cooccurrence
Element:Ti,Property:microhardness,Element,Property,0.85,increase,strong,cooccurrence
Element:Ti,Element:Cr=1,Element,Element,0.85,increase,strong,cooccurrence
Element:Ti,Property:UTS,Element,Property,0.7,increase,medium,cooccurrence
Element:Ti,Property:elongation,Element,Property,0.85,increase,strong,cooccurrence
Element:Ti,Element:Nb=25,Element,Element,0.65,increase,medium,cooccurrence
Element:Ti,Element:Al=5.16,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Element:Cr=1.1,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Element:Fe=0.98,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Element:Mo=4.92,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Element:V=4.96,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Element:Cr,Element,Element,0.85,increase,strong,cooccurrence
Element:Ti,Element:Cr=12,Element,Element,0.65,increase,medium,cooccurrence
Element:Ti,Element:Sn=3,Element,Element,0.65,increase,medium,cooccurrence
Element:Ti,Property:hardness=295HV1,Element,Property,0.6,increase,medium,cooccurrence
Element:Ti,Element:B=0.1,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Element:C=0.1,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Element:Sn=2,Element,Element,0.85,increase,strong,cooccurrence
Element:Ti,Element:Mo=4,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Element:Mo=7,Element,Element,0.65,increase,medium,cooccurrence
Element:Ti,Element:W,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Element:Al=2,Element,Element,0.7,increase,medium,cooccurrence
Element:Ti,Element:Fe=2,Element,Element,0.85,increase,strong,cooccurrence
Element:Ti,Element:Mo=6,Element,Element,0.7,increase,medium,cooccurrence
Element:Ti,Element:Mo=9.2,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Element:Zr=1,Element,Element,0.65,increase,medium,cooccurrence
Element:Ti,Property:work hardening rate,Element,Property,0.7,increase,medium,cooccurrence
Element:Ti,Property:yield stress,Element,Property,0.7,increase,medium,cooccurrence
Element:Ti,Element:Zr=4,Element,Element,0.85,increase,strong,cooccurrence
Element:Ti,Property:impact toughness,Element,Property,0.7,increase,medium,cooccurrence
Element:Ti,Property:tensile strength,Element,Property,0.8,increase,strong,cooccurrence
Element:Ti,Element:Al=6.1,Element,Element,0.6,increase,medium,cooccurrence
Element:Ti,Property:elongation=13.5%,Element,Property,0.6,increase,medium,cooccurrence
Element:Ti,Property:elongation=6.3%,Element,Property,0.6,increase,medium,cooccurrence
Element:Ti,Property:tensile properties,Element,Property,0.6,increase,medium,cooccurrence
Element:Ti,Property:ductility,Element,Property,0.85,increase,strong,cooccurrence
Element:Ti,Property:wear rate,Element,Property,0.6,increase,medium,cooccurrence
