source,target,edge_type,weight,n_papers
n00001,n00002,HAS_ELEMENT,1,1
n00001,n00003,HAS_ELEMENT,1,1
n00001,n00004,HAS_ELEMENT,1,1
n00001,n00005,HAS_ELEMENT,1,1
n00001,n00006,HAS_ELEMENT,1,1
n00001,n00007,HAS_ELEMENT,1,1
n00001,n00008,HAS_ELEMENT,1,1
n00001,n00009,HAS_ELEMENT,1,1
n00001,n00010,INVOLVES_PROCESS,1,1
n00001,n00011,INVOLVES_PROCESS,1,1
n00001,n00012,INVOLVES_PROCESS,1,1
n00001,n00013,EXHIBITS_MICRO,1,1
n00001,n00014,EXHIBITS_MICRO,1,1
n00001,n00015,EXHIBITS_MICRO,1,1
n00001,n00016,EXHIBITS_MICRO,1,1
n00001,n00017,EXHIBITS_MICRO,1,1
n00001,n00018,EXHIBITS_MICRO,1,1
n00001,n00019,EXHIBITS_MICRO,1,1
n00001,n00020,EXHIBITS_MICRO,1,1
n00001,n00021,MEASURES_PROPERTY,1,1
n00001,n00022,MEASURES_PROPERTY,1,1
n00001,n00023,MEASURES_PROPERTY,1,1
n00001,n00024,MEASURES_PROPERTY,1,1
n00001,n00025,MEASURES_PROPERTY,1,1
n00001,n00026,STUDIES_ALLOY,1,1
n00001,n00027,STUDIES_ALLOY,1,1
n00001,n00028,STUDIES_ALLOY,1,1
n00010,n00013,PROCESS_LEADS_TO_MICRO,35,1
n00010,n00014,PROCESS_LEADS_TO_MICRO,39,1
n00010,n00015,PROCESS_LEADS_TO_MICRO,38,2
n00010,n00016,PROCESS_LEADS_TO_MICRO,33,1
n00010,n00017,PROCESS_LEADS_TO_MICRO,53,2
n00010,n00018,PROCESS_LEADS_TO_MICRO,46,2
n00010,n00019,PROCESS_LEADS_TO_MICRO,18,1
n00010,n00020,PROCESS_LEADS_TO_MICRO,3,0
n00011,n00013,PROCESS_LEADS_TO_MICRO,21,1
n00011,n00014,PROCESS_LEADS_TO_MICRO,21,1
n00011,n00015,PROCESS_LEADS_TO_MICRO,28,1
n00011,n00016,PROCESS_LEADS_TO_MICRO,19,0
n00011,n00017,PROCESS_LEADS_TO_MICRO,34,1
n00011,n00018,PROCESS_LEADS_TO_MICRO,28,1
n00011,n00019,PROCESS_LEADS_TO_MICRO,9,0
n00011,n00020,PROCESS_LEADS_TO_MICRO,1,0
n00012,n00013,PROCESS_LEADS_TO_MICRO,15,0
n00012,n00014,PROCESS_LEADS_TO_MICRO,13,0
n00012,n00015,PROCESS_LEADS_TO_MICRO,11,1
n00012,n00016,PROCESS_LEADS_TO_MICRO,14,1
n00012,n00017,PROCESS_LEADS_TO_MICRO,17,1
n00012,n00018,PROCESS_LEADS_TO_MICRO,15,1
n00012,n00019,PROCESS_LEADS_TO_MICRO,13,1
n00012,n00020,PROCESS_LEADS_TO_MICRO,2,0
n00013,n00021,MICRO_AFFECTS_PROPERTY,44,1
n00013,n00022,MICRO_AFFECTS_PROPERTY,54,1
n00013,n00023,MICRO_AFFECTS_PROPERTY,41,1
