node_id,type,name,count,alloy_system
n00001,Paper,A comprehensive mean-field approach to simulate the microstr,1,Ti-based
n00002,Element,Al,95,Ti-based
n00003,Element,W,26,Ti-based
n00004,Element,V,89,Ti-based
n00005,Element,Mo,71,Ti-based
n00006,Element,Sn,36,Ti-based
n00007,Element,Cr,51,Ti-based
n00008,Element,Zr,44,Ti-based
n00009,Element,C,85,Ti-based
n00010,Process,Annealing,57,Ti-based
n00011,Process,Quenching,35,Ti-based
n00012,Process,Hot Compression,17,Ti-based
n00013,Microstructure,Equiaxed α,56,Ti-based
n00014,Microstructure,Lamellar α,55,Ti-based
n00015,Microstructure,Grain Refinement,64,Ti-based
n00016,Microstructure,Recrystallization,54,Ti-based
n00017,Microstructure,Phase Transformation,92,Ti-based
n00018,Microstructure,α+β Dual Phase,79,Ti-based
n00019,Microstructure,Dynamic Recrystallization,30,Ti-based
n00020,Microstructure,Static Recrystallization,3,Ti-based
n00021,Property,Yield Strength,79,Ti-based
n00022,Property,Elongation/Ductility,92,Ti-based
n00023,Property,Corrosion Resistance,76,Ti-based
n00024,Property,Creep Resistance,46,Ti-based
n00025,Property,Work Hardening,28,Ti-based
n00026,Alloy,Ti-6Al-4V,69,Ti-based
n00027,Alloy,Ti-5Al-5Mo-5V-3Cr-1Zr,4,Ti-based
n00028,Alloy,Ti-5Al-2Sn-2Zr-4Mo-4Cr,4,Ti-based
n00029,Paper,A full-field model for hydrogen diffusion and trapping in tw,1,Ti-based
n00030,Element,B,24,Ti-based
n00031,Element,N,31,Ti-based
n00032,Process,Powder Metallurgy,33,Ti-based
n00033,Microstructure,Martensite (α'),60,Ti-based
n00034,Microstructure,Precipitation,70,Ti-based
n00035,Property,TWIP Effect,14,Ti-based
n00036,Paper,A strategy to regulate the yield ratio of a metastable high,1,Ti-based
n00037,Element,Fe,49,Ti-based
n00038,Element,Ta,17,Ti-based
n00039,Element,Mn,8,Ti-based
n00040,Element,Nb,44,Ti-based
n00041,Process,Aging,50,Ti-based
n00042,Process,Solution Treatment,55,Ti-based
n00043,Process,Additive Manufacturing,72,Ti-based
n00044,Microstructure,Widmanstätten/Basketweave,19,Ti-based
n00045,Microstructure,β-Stabilized Structure,48,Ti-based
n00046,Property,Ultimate Tensile Strength,47,Ti-based
n00047,Property,Fatigue Performance,84,Ti-based
n00048,Property,Biocompatibility,30,Ti-based
n00049,Property,Elastic Modulus,35,Ti-based
n00050,Property,Ductility,80,Ti-based
n00051,Property,Strength-Ductility Balance,17,Ti-based
n00052,Alloy,Ti-30Zr-5Mo,1,Ti-based
n00053,Alloy,Ti-30Zr,1,Ti-based
n00054,Alloy,Ti-10V-3Fe-3Al,1,Ti-based
n00055,Alloy,Ti-15Mo-2Al,1,Ti-based
n00056,Paper,Achieving equiaxed grain microstructure and isotropic proper,1,Ti-based
n00057,Element,Si,18,Ti-based
n00058,Process,Hot Rolling,14,Ti-based
n00059,Process,SLM,38,Ti-based
n00060,Process,DED,22,Ti-based
n00061,Process,WAAM,11,Ti-based
n00062,Process,EBM,21,Ti-based
n00063,Microstructure,ω Phase,27,Ti-based
n00064,Microstructure,Columnar Grains,26,Ti-based
n00065,Microstructure,Porosity,41,Ti-based
n00066,Property,Fracture Toughness,38,Ti-based
n00067,Alloy,Ti-3Al-6V-6Fe-2Zr,1,Ti-based
n00068,Alloy,Ti-16Nb,1,Ti-based
n00069,Paper,Achieving high density and controlled microstructure by pred,1,Ti-based
n00070,Process,Hot Forging,11,Ti-based
n00071,Process,Sintering/SPS,2,Ti-based
n00072,Property,Hardness,37,Ti-based
n00073,Alloy,Ti-6Cr-5Mo-5V-4Al,4,Ti-based
n00074,Alloy,Ti-5Al-5V-5Mo-3Cr,5,Ti-based
n00075,Alloy,Ti-5Al-5Mo-5V-3Cr,12,Ti-based
n00076,Alloy,Ti-10V-2Fe-3Al,10,Ti-based
n00077,Paper,Achieving high work-hardening and high plasticity of metasta,1,Ti-based
n00078,Element,Cu,15,Ti-based
n00079,Microstructure,Twinning (TWIP),25,Ti-based
n00080,Property,TRIP Effect,17,Ti-based
n00081,Alloy,Ti-28Nb-35.4Zr,1,Ti-based
n00082,Alloy,Ti-4V-2Mo-2Fe,2,Ti-based
n00083,Paper,An investigation on microstructure evolution and deformation,1,Ti-based
n00084,Process,Welding,29,Ti-based
n00085,Microstructure,Bimodal Microstructure,17,Ti-based
n00086,Alloy,Ti-5Al-5Mo-5V-1Cr-1Fe,11,Ti-based
n00087,Alloy,Ti-5Al-2.5Sn,3,Ti-based
n00088,Paper,Anomalous solidification behaviour in rapidly cooled TiNbTa,1,Ti-based
n00089,Element,O,31,Ti-based
n00090,Process,LPBF,29,Ti-based
n00091,Alloy,Ti-20Nb-10Ta,1,Ti-based
n00092,Alloy,Ti-25Nb,2,Ti-based
n00093,Alloy,Ti-35Ta,1,Ti-based
