paper,doi,doi_url
"3D ink-extrusion of elemental powders for high-compliance β-Ti microlattices",10.1016/j.jmrt.2025.06.225,https://doi.org/10.1016/j.jmrt.2025.06.225
"3D-printed porous titanium scaffolds incorporating niobium for high bone regeneration capacity",10.1016/j.matdes.2020.108890,https://doi.org/10.1016/j.matdes.2020.108890
"A comparative bio-mechanical performance assessment of additively manufactured bone scaffolds using different beta Ti alloys and Gyroid based cellular structure",10.1016/j.jmrt.2025.01.096,https://doi.org/10.1016/j.jmrt.2025.01.096
"A comparison study of the dwell-fatigue behaviours of additive and conventional IN718 The role of dislocation substructure on the cracking behaviour",10.1016/j.msea.2020.140072,https://doi.org/10.1016/j.msea.2020.140072
"A comprehensive review of additively manufactured biomedical titanium alloys for bone tissue engineering Biocorrosion biomechanical and biological properties",10.1016/j.jmrt.2025.05.069,https://doi.org/10.1016/j.jmrt.2025.05.069
"A creep constitutive model for Inconel 718-BNi2 brazed joints incorporating the dynamic interplay between dislocations and γ precipitate phases",10.1016/j.matdes.2025.114170,https://doi.org/10.1016/j.matdes.2025.114170
"A critical assessment of experimental investigation of dynamic recrystallization of metallic materials",10.1016/j.matdes.2020.108873,https://doi.org/10.1016/j.matdes.2020.108873
"A critical review of dispersion strengthened titanium alloy fabricated through spark plasma sintering techniques",10.1016/j.jallcom.2023.170407,https://doi.org/10.1016/j.jallcom.2023.170407
"A critical review on multifunctional surface strategies for titanium alloys in bioactive and durable implants",10.1016/j.nxbio.2025.100009,https://doi.org/10.1016/j.nxbio.2025.100009
"A low-cost metastable beta Ti alloy with high elastic admissible strain and enhanced ductility for orthopaedic application",10.1016/j.jallcom.2020.155391,https://doi.org/10.1016/j.jallcom.2020.155391
"A machine learning multitasking integrated framework and its derived Moceinflocposteqceinf-Feceinflocposteqceinf map for designing TRIP titanium alloys",10.1016/j.matdes.2025.115254,https://doi.org/10.1016/j.matdes.2025.115254
"A novel high-strength ceitalicβceitalic-Ti alloy with hierarchical distribution of ceitalicαceitalic-phase The superior combination of strength and ductility",10.1016/j.matdes.2019.107640,https://doi.org/10.1016/j.matdes.2019.107640
"A novel method to prevent cracking in directed energy deposition of Inconel 738 by in-situ doping Inconel 718",10.1016/j.matdes.2020.109214,https://doi.org/10.1016/j.matdes.2020.109214
"A recrystallization heat-treatment to reduce deformation anisotropy of additively manufactured Inconel 718",10.1016/j.matdes.2020.109228,https://doi.org/10.1016/j.matdes.2020.109228
"A strategy for designing Ti-based ceitalicin-situceitalic bulk metallic glass composites with tailored structural metastability using conventional titanium alloys",10.1016/j.jmrt.2024.08.208,https://doi.org/10.1016/j.jmrt.2024.08.208
"A study of the influence of novel scan strategies on residual stress and microstructure of L-shaped LPBF IN718 samples",10.1016/j.matdes.2022.110386,https://doi.org/10.1016/j.matdes.2022.110386
"A study on the microstructure and mechanical properties of the Ti-6Al-2Sn-4Zr-6Mo alloy produced via Laser Powder Bed Fusion",10.1016/j.jallcom.2021.159329,https://doi.org/10.1016/j.jallcom.2021.159329
"A tribological investigation of SLM fabricated TC4 titanium alloy with carburization pre-treatment",10.1016/j.ceramint.2019.10.004,https://doi.org/10.1016/j.ceramint.2019.10.004
"Achieving balanced mechanical properties in laser powder bed fusion processed Inconel 718 superalloy through a simplified heat treatment process",10.1016/j.jmst.2024.06.057,https://doi.org/10.1016/j.jmst.2024.06.057
"Achieving cryogenic strength-ductility synergy of near-α titanium alloy fabricated by laser direct energy deposition through multiscale deformation",10.1016/j.matdes.2025.114858,https://doi.org/10.1016/j.matdes.2025.114858
"Achieving high work-hardening and high plasticity of metastable β-Ti-xV-5Zr3Al2Cr alloy through α martensite",10.1016/j.jmrt.2025.03.158,https://doi.org/10.1016/j.jmrt.2025.03.158
"Additive manufacturing of Ti6Al4V alloy via electron beam melting for the development of implants for the biomedical industry",10.1016/j.heliyon.2021.e06892,https://doi.org/10.1016/j.heliyon.2021.e06892
"Additive manufacturing of a porous titanium layer structure Ti on a CoCr alloy for manufacturing cementless implants",10.1016/j.jmrt.2020.11.080,https://doi.org/10.1016/j.jmrt.2020.11.080
"Additive manufacturing of functionally graded inconel 718 Effect of heat treatment and building orientation on microstructure and fatigue behaviour",10.1016/j.jmatprotec.2022.117573,https://doi.org/10.1016/j.jmatprotec.2022.117573
"Additive manufacturing of metastable beta TiNbFeSn alloys with tuned mechanical properties for biomedical implants Processingstructureproperty relationships and alloy selection for implant design",10.1016/j.jmrt.2025.11.064,https://doi.org/10.1016/j.jmrt.2025.11.064
"Additive manufacturing of titanium alloys for biomedical applications A systematic review",10.1016/j.revmat.2025.100011,https://doi.org/10.1016/j.revmat.2025.100011
"Additive manufacturing of titanium-based alloys- A review of methods properties challenges and prospects",10.1016/j.heliyon.2022.e09041,https://doi.org/10.1016/j.heliyon.2022.e09041
"Additively manufactured Tantalum-titanium alloys with optimized osteogenic and immunomodulatory properties for load-bearing orthopedic implants",10.1016/j.bioactmat.2025.11.029,https://doi.org/10.1016/j.bioactmat.2025.11.029
"Advances in additively manufactured titanium alloys by powder bed fusion and directed energy deposition Microstructure defects and mechanical behavior",10.1016/j.jmst.2023.11.003,https://doi.org/10.1016/j.jmst.2023.11.003
"Advances in nano-inoculant grain refinement for fusion-based additive manufacturing of Al and Ti alloys",10.1016/j.matdes.2025.114581,https://doi.org/10.1016/j.matdes.2025.114581
"An investigation into the effect of scanning pattern and heat treatment on the mechanical properties of Inconel 718 in the direct metal deposition process",10.1016/j.jmrt.2023.04.109,https://doi.org/10.1016/j.jmrt.2023.04.109
"Analysis of single tracks of IN718 produced by laser powder directed energy deposition process",10.1016/j.procir.2022.09.006,https://doi.org/10.1016/j.procir.2022.09.006
"Anisotropy in cyclic behavior and fatigue crack growth of IN718 processed by laser powder bed fusion",10.1016/j.addma.2022.103301,https://doi.org/10.1016/j.addma.2022.103301
"Anisotropy in tensile properties of a high strength metastable β titanium alloy",10.1016/j.matdes.2024.113401,https://doi.org/10.1016/j.matdes.2024.113401
"Assessment of β stabilizers additions on microstructure and properties of as-cast β TiNb based alloys",10.1016/j.jmrt.2022.12.144,https://doi.org/10.1016/j.jmrt.2022.12.144
"Balancing strength modulus and biocompatibility in a novel oxygen-containing β-type titanium alloy",10.1016/j.jmrt.2025.11.120,https://doi.org/10.1016/j.jmrt.2025.11.120
"Beta-titanium alloys versus surface treatment How much does it improve their antimicrobial activity A systematic review",10.1016/j.dentre.2024.100079,https://doi.org/10.1016/j.dentre.2024.100079
"Bioactivity and tribological performance of a novel nano-biomaterial beta-type Ti-alloy",10.1016/j.jmrt.2025.03.180,https://doi.org/10.1016/j.jmrt.2025.03.180
"Cascading of the as-built microstructure through heat treatment and its role on the tensile properties of laser powder bed fused Inconel 718",10.1016/j.mtla.2021.101272,https://doi.org/10.1016/j.mtla.2021.101272
"Characteristics of molten pool flow in adjustable-ring-mode laser welding of titanium alloys considering influence of groove gaps",10.1016/j.jmrt.2025.08.177,https://doi.org/10.1016/j.jmrt.2025.08.177
"Cold rolling deformation and annealing behavior of a β-type Ti34Nb25Zr titanium alloy for biomedical applications",10.1016/j.jmrt.2019.12.062,https://doi.org/10.1016/j.jmrt.2019.12.062
"Combination of ceitalicab initioceitalic descriptors and machine learning approach for the prediction of the plasticity mechanisms in β-metastable Ti alloys",10.1016/j.matdes.2024.112801,https://doi.org/10.1016/j.matdes.2024.112801
"Combining manufacturing of titanium alloy through direct energy deposition and laser shock peening processes",10.1016/j.matdes.2021.109626,https://doi.org/10.1016/j.matdes.2021.109626
"Comparison of electron-beam-melted and conventionally rolled Inconel 718 under thermomechanical creep-fatigue loading",10.1016/j.ijfatigue.2025.109238,https://doi.org/10.1016/j.ijfatigue.2025.109238
"Comprehensive mapping of mechanical properties and martensitic transformation in TiAlMo standard ternary system Integrating literature data and fabricating novel high-Al-content superelastic alloys",10.1016/j.jallcom.2024.176841,https://doi.org/10.1016/j.jallcom.2024.176841
"Cooling dynamics of two titanium alloys during laser powder bed fusion probed with ceitalicin situceitalic X-ray imaging and diffraction",10.1016/j.matdes.2020.108987,https://doi.org/10.1016/j.matdes.2020.108987
"Corrosion behavior of wire arc additive manufactured Inconel 718 superalloy",10.1016/j.jallcom.2020.154455,https://doi.org/10.1016/j.jallcom.2020.154455
"Deformation and strength characteristics of Laves phases in titanium alloys",10.1016/j.matdes.2019.107891,https://doi.org/10.1016/j.matdes.2019.107891
"Deformation behavior of HfNbTaTiZr high entropy alloy singe crystals and polycrystals",10.1016/j.msea.2021.140983,https://doi.org/10.1016/j.msea.2021.140983
"Deformation behavior of β titanium alloy tubes in die-less forming with taper shape control",10.1016/j.jmrt.2023.09.202,https://doi.org/10.1016/j.jmrt.2023.09.202
"Deformation mechanisms in a metastable beta titanium twinning induced plasticity alloy with high yield strength and high strain hardening rate",10.1016/j.actamat.2018.04.035,https://doi.org/10.1016/j.actamat.2018.04.035
"Design and microstructure-mechanical properties of a novel metastable β titanium alloy with excellent strength-plasticity matching",10.1016/j.jmrt.2024.01.041,https://doi.org/10.1016/j.jmrt.2024.01.041
