paper_title,doi,doi_url
A strategy to regulate the yield ratio of a metastable high Zr-containing β titanium alloy Synergistic effects of the β domain β stability and βα interfaces by varying the α phase content,10.1016/j.matdes.2024.112764,https://doi.org/10.1016/j.matdes.2024.112764
Achieving equiaxed grain microstructure and isotropic properties in titanium thin-walled components by laser-directed energy deposition,10.1016/j.jmst.2023.11.003,https://doi.org/10.1016/j.jmst.2023.11.003
Achieving high density and controlled microstructure by predicting hot deformation behavior of low-cost powder metallurgy Ti-5553 alloy,10.1016/j.jmrt.2024.08.055,https://doi.org/10.1016/j.jmrt.2024.08.055
Achieving high work-hardening and high plasticity of metastable β-Ti-xV-5Zr3Al2Cr alloy through α martensite,10.1016/j.jmrt.2025.03.158,https://doi.org/10.1016/j.jmrt.2025.03.158
Additive manufacturing of metastable beta TiNbFeSn alloys with tuned mechanical properties for biomedical implants Processingstructureproperty relationships and alloy selection for implant design,10.1016/j.jmrt.2025.11.064,https://doi.org/10.1016/j.jmrt.2025.11.064
An investigation on microstructure evolution and deformation mechanism of Ti5Al5Mo5V1Cr1Fe alloy during in-situ tensile,10.1016/j.jmrt.2024.08.174,https://doi.org/10.1016/j.jmrt.2024.08.174
Balancing strength and ductility by controllable heat-treatment twinning in a near β-Ti alloy,10.1016/j.jmrt.2025.11.120,https://doi.org/10.1016/j.jmrt.2025.11.120
Biomedical mmlmathaltimgsi38svgdisplayinlineidd1e781mmlmiβmmlmimmlmath-titanium alloys from pure metal powders - Key role of Sn during additive manufacturing,10.1016/j.apmate.2021.11.001,https://doi.org/10.1016/j.apmate.2021.11.001
Characterization of hot deformation and microstructure evolution of a new metastable β titanium alloy,10.1016/j.pnsc.2020.11.007,https://doi.org/10.1016/j.pnsc.2020.11.007
Columnar to equiaxed transition during β heat treatment in a near β alloy by laser additive manufacture,10.1016/j.ijfatigue.2022.107287,https://doi.org/10.1016/j.ijfatigue.2022.107287
